****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=6.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 151x16103
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.78	Loglikelihood: -1.13219e+06	(delta): 1.70936e+06
2 (EM) 	Elapsed: 0.83	Loglikelihood: -1.06995e+06	(delta): 62237.7
3 (EM) 	Elapsed: 0.794	Loglikelihood: -1.05592e+06	(delta): 14035.8
4 (EM) 	Elapsed: 0.767	Loglikelihood: -1.04835e+06	(delta): 7564.9
5 (EM) 	Elapsed: 0.756	Loglikelihood: -1.04348e+06	(delta): 4874.22
Initial loglikelihood: -1.04348e+06
Starting main algorithm
1 (QN/Block) 	Elapsed: 1.466	Loglikelihood: -1.02828e+06	(delta): 15196.2
2 (QN/Block) 	Elapsed: 1.535	Loglikelihood: -1.02498e+06	(delta): 3306.28
3 (QN/Block) 	Elapsed: 1.813	Loglikelihood: -1.02283e+06	(delta): 2145.74
4 (QN/Block) 	Elapsed: 1.746	Loglikelihood: -1.0214e+06	(delta): 1432.64
5 (QN/Block) 	Elapsed: 1.816	Loglikelihood: -1.02055e+06	(delta): 848.387
6 (QN/Block) 	Elapsed: 1.769	Loglikelihood: -1.01992e+06	(delta): 628.54
7 (QN/Block) 	Elapsed: 1.682	Loglikelihood: -1.01953e+06	(delta): 391.801
8 (QN/Block) 	Elapsed: 1.753	Loglikelihood: -1.01928e+06	(delta): 246.189
9 (QN/Block) 	Elapsed: 1.6	Loglikelihood: -1.01906e+06	(delta): 221.512
10 (QN/Block) 	Elapsed: 1.599	Loglikelihood: -1.01895e+06	(delta): 107.945
11 (QN/Block) 	Elapsed: 1.605	Loglikelihood: -1.01889e+06	(delta): 66.5338
12 (QN/Block) 	Elapsed: 1.628	Loglikelihood: -1.01883e+06	(delta): 58.15
13 (QN/Block) 	Elapsed: 1.601	Loglikelihood: -1.01876e+06	(delta): 70.9886
14 (QN/Block) 	Elapsed: 1.691	Loglikelihood: -1.0187e+06	(delta): 55.1776
15 (QN/Block) 	Elapsed: 1.811	Loglikelihood: -1.01865e+06	(delta): 53.6169
16 (QN/Block) 	Elapsed: 1.62	Loglikelihood: -1.01863e+06	(delta): 19.6485
17 (QN/Block) 	Elapsed: 1.75	Loglikelihood: -1.01861e+06	(delta): 16.9572
18 (QN/Block) 	Elapsed: 1.714	Loglikelihood: -1.0186e+06	(delta): 14.3873
19 (QN/Block) 	Elapsed: 1.721	Loglikelihood: -1.01858e+06	(delta): 17.9709
20 (QN/Block) 	Elapsed: 1.733	Loglikelihood: -1.01857e+06	(delta): 10.1393
21 (QN/Block) 	Elapsed: 1.649	Loglikelihood: -1.01856e+06	(delta): 6.77633
22 (QN/Block) 	Elapsed: 1.621	Loglikelihood: -1.01856e+06	(delta): 5.19342
23 (QN/Block) 	Elapsed: 1.612	Loglikelihood: -1.01855e+06	(delta): 8.18846
24 (QN/Block) 	Elapsed: 1.65	Loglikelihood: -1.01854e+06	(delta): 9.56655
25 (QN/Block) 	Elapsed: 1.665	Loglikelihood: -1.01854e+06	(delta): 3.39672
26 (QN/Block) 	Elapsed: 1.847	Loglikelihood: -1.01853e+06	(delta): 4.66593
27 (QN/Block) 	Elapsed: 1.948	Loglikelihood: -1.01852e+06	(delta): 13.1516
28 (QN/Block) 	Elapsed: 1.924	Loglikelihood: -1.0185e+06	(delta): 19.8595
29 (QN/Block) 	Elapsed: 1.941	Loglikelihood: -1.01848e+06	(delta): 19.2359
30 (QN/Block) 	Elapsed: 1.912	Loglikelihood: -1.01847e+06	(delta): 13.8427
31 (QN/Block) 	Elapsed: 1.673	Loglikelihood: -1.01846e+06	(delta): 9.54139
32 (QN/Block) 	Elapsed: 1.87	Loglikelihood: -1.01845e+06	(delta): 9.34254
33 (QN/Block) 	Elapsed: 1.626	Loglikelihood: -1.01845e+06	(delta): 0.76032
34 (QN/Block) 	Elapsed: 1.854	Loglikelihood: -1.01845e+06	(delta): 0.799112
35 (QN/Block) 	Elapsed: 1.927	Loglikelihood: -1.01845e+06	(delta): 1.007
36 (QN/Block) 	Elapsed: 1.93	Loglikelihood: -1.01844e+06	(delta): 1.29245
37 (QN/Block) 	Elapsed: 1.898	Loglikelihood: -1.01844e+06	(delta): 0.738789
38 (QN/Block) 	Elapsed: 1.947	Loglikelihood: -1.01844e+06	(delta): 1.68171
39 (QN/Block) 	Elapsed: 1.935	Loglikelihood: -1.01844e+06	(delta): 3.06238
40 (QN/Block) 	Elapsed: 1.812	Loglikelihood: -1.01844e+06	(delta): 2.27679
41 (QN/Block) 	Elapsed: 1.832	Loglikelihood: -1.01844e+06	(delta): 0.485517
42 (QN/Block) 	Elapsed: 1.832	Loglikelihood: -1.01844e+06	(delta): 0.657456
43 (QN/Block) 	Elapsed: 1.809	Loglikelihood: -1.01843e+06	(delta): 0.66625
44 (QN/Block) 	Elapsed: 1.808	Loglikelihood: -1.01843e+06	(delta): 0.86894
45 (QN/Block) 	Elapsed: 1.601	Loglikelihood: -1.01843e+06	(delta): 0.609352
46 (QN/Block) 	Elapsed: 1.666	Loglikelihood: -1.01843e+06	(delta): 0.504049
